0,1,2,label
29.15224478,26.84363941,26.84363941,Test 1
26.96189171,29.26340132,29.26340132,Test 2
0,0,0,Test 3
23.73370331,26.43202302,26.43202302,Test 4
26.32775853,23.3313804,23.3313804,Test 5
0,28.03479509,28.03479509,Test 6
28.77687935,24.13368296,24.13368296,Test 7
24.12194063,0,0,Test 8
26.09673171,20.96845219,20.96845219,Test 9
20.75321167,25.59132156,25.59132156,Test 10
0,0,0,Test 11
33.11161924,29.9654979,29.9654979,Test 12
29.90513765,33.34155182,33.34155182,Test 13
0,28.00020706,28.00020706,Test 14
27.45146044,31.76439927,31.76439927,Test 15
31.52812407,0,0,Test 16
0,30.31318488,30.31318488,Test 17
30.35697589,0,0,Test 18
0,0,0,Test 19
28.40673695,0,0,Test 20
0,28.22259474,28.22259474,Test 21
0,0,0,Test 22
0,27.77164731,27.77164731,Test 23
27.85005917,0,0,Test 24
0,24.65297034,24.65297034,Test 25
25.64017268,0,0,Test 26
0,0,0,Test 27
26.01711272,28.84211117,28.84211117,Test 28
29.20866838,26.32173062,26.32173062,Test 29
0,26.28395823,26.28395823,Test 30
26.96415937,18.71030385,18.71030385,Test 31
23.72282012,0,0,Test 32
37.04254806,34.69285707,34.69285707,Test 33
34.32679222,37.94232963,37.94232963,Test 34
0,0,0,Test 35
22.46054068,32.41250824,32.41250824,Test 36
32.14734585,22.25139771,22.25139771,Test 37
0,0,0,Test 38
0,33.32204817,33.32204817,Test 39
33.19314656,0,0,Test 40
25.60152854,20.28064602,20.28064602,Test 41
20.01322299,25.35022701,25.35022701,Test 42
0,0,0,Test 43
0,37.75122553,37.75122553,Test 44
35.9927941,0,0,Test 45
0,28.29107483,28.29107483,Test 46
27.17703372,32.29198821,32.29198821,Test 47
31.99294091,0,0,Test 48
0,0,0,Test 49
0,0,0,Test 50
0,0,0,Test 51
28.95540964,0,0,Test 52
0,29.39286054,29.39286054,Test 53
0,0,0,Test 54
0,37.00072871,37.00072871,Test 55
37.93768,0,0,Test 56
0,29.65738128,29.65738128,Test 57
30.42631561,0,0,Test 58
0,0,0,Test 59
0,36.27229645,36.27229645,Test 60
0,35.31561204,35.31561204,Test 61
0,33.35069025,33.35069025,Test 62
33.62526798,16.12365802,16.12365802,Test 63
24.62905306,0,0,Test 64
35.33148007,32.984969,32.984969,Test 65
33.12409023,34.96116319,34.96116319,Test 66
0,0,0,Test 67
22.62981634,23.80510416,23.80510416,Test 68
22.75954947,22.25685114,22.25685114,Test 69
0,35.35586802,35.35586802,Test 70
0,30.33311657,30.33311657,Test 71
30.19987232,0,0,Test 72
24.48663093,19.77987455,19.77987455,Test 73
19.56461786,24.00535286,24.00535286,Test 74
0,0,0,Test 75
0,35.96390463,35.96390463,Test 76
35.35881349,0,0,Test 77
0,24.81552673,24.81552673,Test 78
23.65100003,31.3484397,31.3484397,Test 79
31.46046175,0,0,Test 80
0,0,0,Test 81
0,0,0,Test 82
0,0,0,Test 83
0,27.9087928,27.9087928,Test 84
