0,1,2,3
29.15224478,26.84363941,29.15224478,26.84363941
26.96189171,29.26340132,26.96189171,29.26340132
0,0,0,0
23.73370331,26.43202302,23.73370331,26.43202302
26.32775853,23.3313804,26.32775853,23.3313804
0,28.03479509,0,28.03479509
28.77687935,24.13368296,28.77687935,24.13368296
24.12194063,0,24.12194063,0
26.09673171,20.96845219,26.09673171,20.96845219
20.75321167,25.59132156,20.75321167,25.59132156
0,0,0,0
33.11161924,29.9654979,33.11161924,29.9654979
29.90513765,33.34155182,29.90513765,33.34155182
0,28.00020706,0,28.00020706
27.45146044,31.76439927,27.45146044,31.76439927
31.52812407,0,31.52812407,0
0,30.31318488,0,30.31318488
30.35697589,0,30.35697589,0
0,0,0,0
28.40673695,0,28.40673695,0
0,28.22259474,0,28.22259474
0,0,0,0
0,27.77164731,0,27.77164731
27.85005917,0,27.85005917,0
0,24.65297034,0,24.65297034
25.64017268,0,25.64017268,0
0,0,0,0
26.01711272,28.84211117,26.01711272,28.84211117
29.20866838,26.32173062,29.20866838,26.32173062
0,26.28395823,0,26.28395823
26.96415937,18.71030385,26.96415937,18.71030385
23.72282012,0,23.72282012,0
37.04254806,34.69285707,37.04254806,34.69285707
34.32679222,37.94232963,34.32679222,37.94232963
0,0,0,0
22.46054068,32.41250824,22.46054068,32.41250824
32.14734585,22.25139771,32.14734585,22.25139771
0,0,0,0
0,33.32204817,0,33.32204817
33.19314656,0,33.19314656,0
25.60152854,20.28064602,25.60152854,20.28064602
20.01322299,25.35022701,20.01322299,25.35022701
0,0,0,0
0,37.75122553,0,37.75122553
35.9927941,0,35.9927941,0
0,28.29107483,0,28.29107483
27.17703372,32.29198821,27.17703372,32.29198821
31.99294091,0,31.99294091,0
0,0,0,0
0,0,0,0
0,0,0,0
28.95540964,0,28.95540964,0
0,29.39286054,0,29.39286054
0,0,0,0
0,37.00072871,0,37.00072871
37.93768,0,37.93768,0
0,29.65738128,0,29.65738128
30.42631561,0,30.42631561,0
0,0,0,0
0,36.27229645,0,36.27229645
0,35.31561204,0,35.31561204
0,33.35069025,0,33.35069025
33.62526798,16.12365802,33.62526798,16.12365802
24.62905306,0,24.62905306,0
35.33148007,32.984969,35.33148007,32.984969
33.12409023,34.96116319,33.12409023,34.96116319
0,0,0,0
22.62981634,23.80510416,22.62981634,23.80510416
22.75954947,22.25685114,22.75954947,22.25685114
0,35.35586802,0,35.35586802
0,30.33311657,0,30.33311657
30.19987232,0,30.19987232,0
24.48663093,19.77987455,24.48663093,19.77987455
19.56461786,24.00535286,19.56461786,24.00535286
0,0,0,0
0,35.96390463,0,35.96390463
35.35881349,0,35.35881349,0
0,24.81552673,0,24.81552673
23.65100003,31.3484397,23.65100003,31.3484397
31.46046175,0,31.46046175,0
0,0,0,0
0,0,0,0
0,0,0,0
0,27.9087928,0,27.9087928
